ID;SEXO;EDAD;GRADO_INSTRUCCION;GRADO_OCUPACIONAL;TIPO_CARGO;AÑOS_TRABAJANDO;GERENCIA;AREA;CREDIBILIDAD;RESPETO;IMPARCIALIDAD;ORGULLO;CAMARADERIA;GENERAL;CALIFICACION;SUGERENCIA;TARGET
194;Masculino;22 años o menos;Instituto superior o técnico completo;Técnico de Mantenimiento Técnico;Trabajador;menos de 1 año;Gerencia de Administración;Mantenimiento Técnico;4.125;3.9;3.708333333;3.777777778;4.1;4;El buen ambiente laboral que se siente.;Que siga brindando el apoyo a los trabajadores con los estudios así como lo viene haciendo.;NEUTRO
195;Masculino;de 39 a 45 años;Instituto superior o técnico completo;Técnico de Mantenimiento Técnico;Trabajador;de 7 a 9 años;Gerencia de Administración;Mantenimiento Técnico;4.125;3.866666667;3.25;4.388888889;4;4;Los supervisores como el Ing. Ramos  y el Sr. Napoleón son buenas personas y conocen del tema. Tienen mucha paciencia. Y el Ing. Carpio es justo lo máximo.;Que seleccione mejor a su encargado y escuche a sus trabajadores.;NEUTRO
196;Masculino;de 39 a 45 años;Instituto superior o técnico completo;Técnico de Mantenimiento Técnico;Trabajador;de 7 a 9 años;Gerencia de Administración;Mantenimiento Técnico;3.9375;4.2;3.958333333;4.333333333;4.5;5;Es toda su preocupación por el trabajador, brindándole todo para que realice su trabajo.;Al contrario toda va muy bien en estos últimos tiempos. Gracias a todos.;PROMOTOR
197;Masculino;de 23 a 30 años;Instituto superior o técnico incompleto;Técnico de Mantenimiento Técnico;Trabajador;menos de 1 año;Gerencia de Administración;Mantenimiento Técnico;4.4375;4.266666667;4.125;4.777777778;4.35;5;Sí, su manejo y percepción con los trabajadores a través de charlas y auditorios, ahorro con convenios de centro de estudios.;En el salario, todos trabajamos bien porque nos fascina como empresa pero un aumento salario diferencia de las demás empresas de competencia. Escala primero socio económico y social y competencia de becas de estudios.;PROMOTOR
198;Masculino;de 31 a 38 años;Instituto superior o técnico completo;Técnico de Mantenimiento Técnico;Trabajador;de 1 a 3 años;Gerencia de Administración;Mantenimiento Técnico;4.21875;4.1;4.208333333;4.111111111;3.55;4.5;Pienso que el grupo que formé con los compañeros y la organización de la empresa (el cómo se consolida).;Un poco más de reconocimiento.;PROMOTOR
199;Masculino;de 23 a 30 años;Instituto superior o técnico completo;Técnico de Mantenimiento Técnico;Trabajador;de 1 a 3 años;Gerencia de Administración;Mantenimiento Técnico;4.34375;4.566666667;4.083333333;4.611111111;4.3;4.5;Nos brindan, en mayoría, las herramientas necesarias en cada labor. Y la oportunidad para perseverar con nuestro desarrollo profesional. Trabajo en equipo, regular remuneración, buen ambiente y beneficios sociales-económicos.;Mejorar en la salud ocupacional del personal. Mejora en costo y servicio en el restaurant de empleados. Nivelación de sueldos, de acuerdo a una justa evaluación del trabajador.;PROMOTOR
200;Masculino;de 31 a 38 años;Instituto superior o técnico completo;Técnico de Mantenimiento Técnico;Trabajador;menos de 1 año;Gerencia de Administración;Mantenimiento Técnico;4.5625;4.733333333;4.416666667;4.944444444;4.8;5;El ambiente y la gente que siempre está apoyando.;Más capacitaciones y disponer de movilidad para el horario de salida.;PROMOTOR
201;Masculino;de 46 años o más;Instituto superior o técnico completo;Encargado;Jefaturas (Jefe, Supervisor, Encargados);de 1 a 3 años;Gerencia de Administración;Mantenimiento Técnico;4.375;4.733333333;4.208333333;4.555555556;4.6;5;A través de mi experiencia laboral en muchos centros laborales y sobre todo en otra empresa de casinos, siento que es un orgullo trabajar en la mejor empresa de entretenimiento.;Me siento cómodo trabajando en Atlantic City, pero considero que esta encuesta ayudará a mejorar mucho más y hacerle un mejor lugar donde laborar de lo que ya es en estos momentos.;PROMOTOR
202;Masculino;de 31 a 38 años;Universitaria incompleta;Encargado;Jefaturas (Jefe, Supervisor, Encargados);de 4 a 6 años;Gerencia de Administración;Mantenimiento Técnico;2.84375;3.033333333;2.875;3.111111111;3;3;No indica;El trato justo en igualdad en todas las gerencias. No es posible que todos los colaboradores de la gerencia de operaciones tengan muchos más beneficios que las demás gerencias.;DETRACTOR
203;Masculino;de 31 a 38 años;Instituto superior o técnico completo;Encargado;Trabajador;de 7 a 9 años;Gerencia de Administración;Mantenimiento Técnico;2.5625;2.7;2.125;3.222222222;2.95;3;Infraestructura, talleres.;La evaluación justa del trabajo que uno realiza, el reconocimiento del desempeño en diferentes especialidades como trabajador.;DETRACTOR
204;Masculino;de 46 años o más;Universitaria completa;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);de 10 a 15 años;Gerencia de Administración;Mantenimiento Técnico;4.46875;4.733333333;4.375;4.5;4.55;5;Su gente.;Aumentaría la disciplina y el orden.;PROMOTOR
205;Masculino;de 39 a 45 años;Universitaria incompleta;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);de 10 a 15 años;Gerencia de Administración;Mantenimiento Técnico;3.71875;4.033333333;3.625;3.222222222;3.85;4;No indica;En las instrucciones del personal nuevo se debe hacer énfasis de que no deben malograr las cosas de la empresa. Deben cuidar los bienes e instalaciones.;NEUTRO
206;Masculino;de 31 a 38 años;Universitaria completa;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);menos de 1 año;Gerencia de Administración;Mantenimiento Técnico;4.1875;4.566666667;4.333333333;4.333333333;4.4;5;No indica;No indica;PROMOTOR
207;Masculino;de 46 años o más;Universitaria incompleta;Supervisor;Jefaturas (Jefe, Supervisor, Encargados);de 10 a 15 años;Gerencia de Administración;Administración de Riesgos;4.75;4.5;4.625;4.777777778;4.3;5;Es el mejor centro de entretenimiento del Perú.;Los bonos deben ser igual para todos.;PROMOTOR
208;Masculino;de 31 a 38 años;Instituto superior o técnico incompleto;Supervisor;Trabajador;de 7 a 9 años;Gerencia de Administración;Administración de Riesgos;4.6875;4.633333333;4.625;4.444444444;4.65;4.5;Por ser una empresa seria con grandes proyecciones y cuidado del personal.;Uno de los factores de cambio sería directamente en las distribuciones de las bonificaciones mensuales. Deberían tener otra forma de ser equitativa.;PROMOTOR
209;Masculino;de 46 años o más;Secundaria o menor;Encargado;Jefaturas (Jefe, Supervisor, Encargados);de 7 a 9 años;Gerencia de Administración;Administración de Riesgos;4.40625;3.5;4.041666667;4.5;4.1;5;Que es el primer lugar de los casinos.;Intercambiar ideas y sugerencias entre áreas.;PROMOTOR
210;Masculino;de 39 a 45 años;Instituto superior o técnico completo;Encargado;Jefaturas (Jefe, Supervisor, Encargados);de 7 a 9 años;Gerencia de Administración;Administración de Riesgos;4;4.4;4.125;4.777777778;4.2;5;Desde que he empezado a trabajar ha ido mejorando poco a poco. En ampliación de algunas áreas como el gimnasio.;Cambiaría que la comida sea gratis.;PROMOTOR
211;Masculino;de 31 a 38 años;Instituto superior o técnico completo;Encargado;Trabajador;de 7 a 9 años;Gerencia de Administración;Administración de Riesgos;4.03125;4.333333333;3.625;4.555555556;4.3;5;Se están preocupando más en el personal ya que son piezas importates en una empresa.;Sería bueno que sea más equitativo en el salario y en lo que es el bono: a todos un bono anual y a otros un bono mensual no es equitativo.;PROMOTOR
212;Masculino;de 46 años o más;Universitaria completa;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);de 7 a 9 años;Gerencia de Administración;Administración de Riesgos;4.65625;4.933333333;4.458333333;4.777777778;4.85;5;Se dan los recursos para la solución de cualquier actividad, en provecho de las operaciones comerciales y administrativas de la empresa.;Mayor actividad social interna corporativa.;PROMOTOR
213;Masculino;de 46 años o más;Universitaria completa;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);de 7 a 9 años;Gerencia de Administración;Administración de Riesgos;4.84375;4.833333333;4.708333333;5;5;5;La permanente preocupación en todos sus instrumentos para mejorar y crecer en el rubro, a través de un cada vez mejor trato a su recurso humano.;No indica;PROMOTOR
214;Masculino;de 31 a 38 años;Secundaria o menor;Auxiliar de Ambiente (Prevención de Riesgos);Trabajador;menos de 1 año;Gerencia de Administración;Administración de Riesgos;4.28125;4.2;4.166666667;4.777777778;4.9;5;Que mejore la comida y que sea tratable con los jefes del personal.;Que no diera propina.;PROMOTOR
215;Masculino;de 31 a 38 años;Instituto superior o técnico incompleto;Auxiliar de Ambiente (Prevención de Riesgos);Trabajador;de 1 a 3 años;Gerencia de Administración;Administración de Riesgos;4.46875;4.133333333;3.833333333;4.722222222;4.35;5;Es un lugar seguro y te hacen sentir como en familia.;Que el personal de seguridad trabaje 8 horas y se les de uniformes.;PROMOTOR
216;Masculino;22 años o menos;Instituto superior o técnico incompleto;Auxiliar de Ambiente (Prevención de Riesgos);Trabajador;menos de 1 año;Gerencia de Administración;Administración de Riesgos;3.8125;3.633333333;3.208333333;3.888888889;3.25;3.5;El buen trato de los jefes y compañeros.;Que los bonos sean mensuales y para todos.;NEUTRO
217;Masculino;de 23 a 30 años;Secundaria o menor;Auxiliar de Ambiente (Prevención de Riesgos);Trabajador;de 1 a 3 años;Gerencia de Administración;Administración de Riesgos;4.28125;4.2;4.041666667;4.444444444;4.45;5;Sí, yo me siento bien laborando en este empresa y me siento contento.;Que haya más actividades con nuestros compañeros de trabajo para sentirnos más cómodos.;PROMOTOR
218;Masculino;de 31 a 38 años;Instituto superior o técnico incompleto;Auxiliar de Ambiente (Prevención de Riesgos);Trabajador;menos de 1 año;Gerencia de Administración;Administración de Riesgos;4.1875;4.133333333;4.125;4.777777778;4.55;5;Es una empresa donde hay una grata calidad de trabajo y se encuentran oportunidades para salir más adelante de lo que uno es.;Más responsabilidades en el trabajo y apoyándonos unos a otros para así ver un cambio en nuestra empresa.;PROMOTOR
219;Masculino;22 años o menos;Secundaria o menor;Auxiliar de Ambiente (Prevención de Riesgos);Trabajador;de 1 a 3 años;Gerencia de Administración;Administración de Riesgos;4.84375;4.5;4.416666667;4.722222222;4.65;5;Que aquí uno se siente en familia y la forma como nos tratamos entre compañeros.;Que haya buses para el personal y así ya no llegaríamos tarde.;PROMOTOR
220;Masculino;de 23 a 30 años;Secundaria o menor;Auxiliar de Ambiente (Prevención de Riesgos);Trabajador;de 4 a 6 años;Gerencia de Administración;Administración de Riesgos;4.8125;4.9;4.666666667;4.777777778;5;5;El buen trato que te hacen sentir como en casa.;No indica;PROMOTOR
221;Masculino;de 23 a 30 años;Secundaria o menor;Auxiliar de Ambiente (Prevención de Riesgos);Trabajador;menos de 1 año;Gerencia de Administración;Administración de Riesgos;3.96875;4.333333333;4.083333333;4.5;4.8;5;Sus ambientes son buenos para trabajar y que hay mucho compañerismo en todas las áreas.;Que si se pudiera nos darían propina así como las demás áreas.;PROMOTOR
222;Masculino;22 años o menos;Secundaria o menor;Auxiliar de Ambiente (Prevención de Riesgos);Trabajador;de 1 a 3 años;Gerencia de Administración;Administración de Riesgos;3;3.6;4.541666667;3;3.55;3;Su manera de participación en eventos.;Quisiera que los supervisores nos den un buen trato y en serio quisiéramos cambios en uniformes y el bono, ya que eso nos hace sentir como la última rueda del coche.;NEUTRO
223;Masculino;de 23 a 30 años;Secundaria o menor;Auxiliar de Ambiente (Prevención de Riesgos);Trabajador;de 1 a 3 años;Gerencia de Administración;Administración de Riesgos;4.28125;4.233333333;4.291666667;4.055555556;4.2;4.5;Los beneficios en clima laboral y los reconocimientos.;No indica;PROMOTOR
224;Masculino;22 años o menos;Secundaria o menor;Auxiliar de Ambiente (Prevención de Riesgos);Trabajador;de 1 a 3 años;Gerencia de Administración;Administración de Riesgos;4.34375;3.9;4.375;3.777777778;4.35;4;Es un lugar entretenido, los beneficios, hay compañerismo, la oportunidad de poder ascender ya que otras empresas no lo hacen.;Sería mejor si a todos los de administración nos dieran el bono mensual, así como los de Servicios Generales y sala. Más facilidad para poder cambiarnos de área.;PROMOTOR
225;Masculino;de 46 años o más;Secundaria o menor;Auxiliar de Ambiente (Prevención de Riesgos);Trabajador;de 10 a 15 años;Gerencia de Administración;Administración de Riesgos;2.5625;2.733333333;3.25;4.555555556;4.15;5;Es una escuela donde se aprende bastante porque tiene varios rubros.;Que todos las áreas trabajen 8 horas. Que tengan movilidad para los trabajadores en horarios nocturno y en rutas principales (conos).;NEUTRO
226;Masculino;de 31 a 38 años;Secundaria o menor;Auxiliar de Ambiente (Prevención de Riesgos);Trabajador;menos de 1 año;Gerencia de Administración;Administración de Riesgos;4.625;4.6;3.333333333;4.388888889;4.85;4.5;No indica;No indica;PROMOTOR
227;Masculino;22 años o menos;Secundaria o menor;Auxiliar de Ambiente (Prevención de Riesgos);Trabajador;menos de 1 año;Gerencia de Administración;Administración de Riesgos;1.90625;1.933333333;2.458333333;2.222222222;2.25;2.5;Sí, la empresa nos trata con respeto y nos hace sentir bien para trabajar.;Bono mensual para nosotros que no tenemos beneficios y también queremos cuando cumplimos un año pasarse de área.;DETRACTOR
228;Masculino;de 39 a 45 años;Instituto superior o técnico incompleto;Auxiliar de Ambiente (Prevención de Riesgos);Trabajador;menos de 1 año;Gerencia de Administración;Administración de Riesgos;4.21875;4.5;4.333333333;4.833333333;4.9;5;Sí, desde que ingresamos a laborar te hacen sentir muy especial porque hay personas muy respetuosas que valoran lo que haces en tu área de trabajo.;Incentivar más a los trabajadores de las dificultades. Áreas con reconocimientos públicos por su buen desempeño.;PROMOTOR
229;Femenino;de 31 a 38 años;Instituto superior o técnico completo;Asistente Prevención de Riesgos;Trabajador;de 1 a 3 años;Gerencia de Administración;Administración de Riesgos;3.71875;3.4;3.916666667;4.166666667;3.35;4;El que se esfuerza RRHH en hacernos sentir cómodos.;Que se verifique en todas las áreas si los jefes directos están comprometidos con hacernos sentir cómodos.;NEUTRO
230;Masculino;de 39 a 45 años;Secundaria o menor;Asistente Prevención de Riesgos;Trabajador;de 7 a 9 años;Gerencia de Administración;Administración de Riesgos;3.9375;3.933333333;3.958333333;4.444444444;4.05;5;La capacitación que brindan a sus trabajadores, el respeto que existe para el trabajador, las oportunidades de desarrollo.;Lo único que cambiaría sería que a todos los otros se les reconozca por igual en lo que son los bonos, consideraciones laborales, reconocimientos por desempeño.;PROMOTOR
231;Masculino;de 39 a 45 años;Instituto superior o técnico incompleto;Asistente Prevención de Riesgos;Trabajador;de 1 a 3 años;Gerencia de Administración;Administración de Riesgos;3.90625;4.133333333;3.958333333;4.5;4.3;5;En esta etapa se está viendo un poco más de preocupación de parte de la Gerencia de RRHH hacia el colaborado, eso es bueno para todos.;Al trato equitativo hacia todo el personal.;PROMOTOR
232;Masculino;de 31 a 38 años;Instituto superior o técnico incompleto;Asistente Prevención de Riesgos;Trabajador;de 4 a 6 años;Gerencia de Administración;Administración de Riesgos;2.78125;2.733333333;2.625;3.111111111;2.75;3;Sí, su infraestructura el lugar de ubicación.;Que los encargados y los jefes lleguen más a los trabajadores que tienen en cuenta sus comentarios y opiniones. Que las ganancias sean equitativas para todas las áreas.;DETRACTOR
233;Masculino;de 39 a 45 años;Instituto superior o técnico incompleto;Asistente Prevención de Riesgos;Trabajador;de 1 a 3 años;Gerencia de Administración;Administración de Riesgos;3.1875;2.333333333;2.5;3.444444444;2.2;2;El buen trato y el ambiente laboral;Que no haya diferencias en los beneficios entre áreas y cargos.;DETRACTOR
234;Masculino;de 23 a 30 años;Secundaria o menor;Auxiliar de Ambiente (Prevención de Riesgos);Trabajador;menos de 1 año;Gerencia de Administración;Administración de Riesgos;4.8125;4.6;4.833333333;4.777777778;5;5;El pago es sobre valorado entre otras empresas y los beneficios son buenos.;Solo el bono justo para todas las áreas.;PROMOTOR
235;Masculino;de 31 a 38 años;Instituto superior o técnico incompleto;Asistente Prevención de Riesgos;Trabajador;de 4 a 6 años;Gerencia de Administración;Administración de Riesgos;3.65625;3.533333333;3.75;4.111111111;3.8;4;En general con la nueva gerencia de RRHH todo a cambiado para mejorar, hay cosas y situaciones por pulir, pero confío que escucharán lo que aún falta trabajar. Los convenios y reconocimientos.;Que haya igualdad para mejorar, hay áreas que cambiarn de un momento a otro sus pagos, sus uniformes, etc. Y otras áreas son limitadas, el incentivo no es solo reconocer, sino también económicom y no se da por igual.;NEUTRO
236;Masculino;de 39 a 45 años;Instituto superior o técnico completo;Asistente Prevención de Riesgos;Trabajador;de 1 a 3 años;Gerencia de Administración;Administración de Riesgos;3.28125;2.833333333;3.333333333;4.111111111;3.65;5;Me gusta el ambiente laboral que vivo en mi área de trabajo, ojalá todos tuviésemos esa vibra y esa disposición de trabajo.;Encuestar a cada trabajador su perfil psicológico, a veces también los problemas económicos que uno tiene en casa se ven reflejados en su trabajo y en el desempeño de sus funciones.;NEUTRO
237;Masculino;de 31 a 38 años;Instituto superior o técnico completo;Asistente Prevención de Riesgos;Trabajador;de 1 a 3 años;Gerencia de Administración;Administración de Riesgos;3.59375;3.633333333;3.625;4.444444444;3.65;5;Tiene un buen ambiente laboral. Tiene buenos beneficios laborales.;Que todos recibamos los mismos incentivos yb los mismos beneficios (bono mensual-propina igual qye las demás áreas- uniforme y sii se pudiera el menú sea gratis).;NEUTRO
238;Masculino;de 23 a 30 años;Instituto superior o técnico incompleto;Asistente Prevención de Riesgos;Trabajador;de 1 a 3 años;Gerencia de Administración;Administración de Riesgos;4.3125;3.166666667;2.708333333;4.666666667;3.95;5;Te hace sentir como en familia.;Nivelar el sueldo (buen sueldo) porque la empresa tiene para pagar es otra cosa que no quiere aumentar.;NEUTRO
239;Femenino;de 39 a 45 años;Instituto superior o técnico incompleto;Asistente Prevención de Riesgos;Trabajador;menos de 1 año;Gerencia de Administración;Administración de Riesgos;4.4375;4;3.583333333;4.111111111;4.25;3;Trabajar en Atlantic City me gusta porque hay buena comunicación. Pero sin que te estén faltanto el respeto o miradas feas o malos comentarios cuando pasan por mi lado.;Tener mejor comunicación con los encargados o supervisores de cada área ya que no siempre comunican sobre alguna tardanza, cambio de horarios o permisos. Se detiene a los trabajadores y hay incomodidad por parte de ellos.;NEUTRO
240;Masculino;de 46 años o más;Secundaria o menor;Asistente Prevención de Riesgos;Trabajador;de 7 a 9 años;Gerencia de Administración;Administración de Riesgos;3;3.6;2.833333333;3.611111111;4.05;4;No indica;No indica;NEUTRO
241;Masculino;de 39 a 45 años;Universitaria incompleta;Asistente Prevención de Riesgos;Trabajador;menos de 1 año;Gerencia de Administración;Administración de Riesgos;4.1875;4.033333333;4.125;4.444444444;4;4;Es un lugar muy acogedor que está en pleno crecimiento, en la cual nos daría muchas oportunidades para crecer en lo laboral y como trabajadores. Gracias.;Integrar más al personal para que puedan intercambiar ideas o definciones y depaertir momentos agradables de confraternidad (como lo de Atlantic Fest).;PROMOTOR
242;Masculino;de 39 a 45 años;Instituto superior o técnico incompleto;Asistente Prevención de Riesgos;Trabajador;de 4 a 6 años;Gerencia de Administración;Administración de Riesgos;3.40625;3.266666667;3.166666667;3.722222222;4;5;El ambiente laboral es bueno así como las remuneraciones están bastante buenas.;No indica;NEUTRO
243;Masculino;de 31 a 38 años;Secundaria o menor;Asistente Prevención de Riesgos;Jefaturas (Jefe, Supervisor, Encargados);de 1 a 3 años;Gerencia de Administración;Administración de Riesgos;4.65625;4.533333333;4.416666667;4.611111111;4.8;5;Sí, el familiarismo, la gerencia te hace sentir como en casa.;Seguir con las capacitaciones y charlas son muy buenas, tanto laboral como personal.;PROMOTOR
244;Masculino;de 31 a 38 años;Instituto superior o técnico completo;Asistente Prevención de Riesgos;Trabajador;menos de 1 año;Gerencia de Administración;Administración de Riesgos;4.3125;4.3;4.125;4.833333333;4.45;5;Es un ambiente cálido y acogedor, contamos con comedor a un bajo precio y las promociones que surgen a bajo precio para los trabajadores.;Usualmente vienen a recoger los desechos o las tuberias de los inodoros y emanan mal olor. Por otro lado deberían todos percibir las propinas ya que todos tenemos contacto con los clientes y servimos para ellos.;PROMOTOR
245;Masculino;de 31 a 38 años;Instituto superior o técnico incompleto;Asistente Prevención de Riesgos;Trabajador;de 1 a 3 años;Gerencia de Administración;Administración de Riesgos;3.15625;3.166666667;3.041666667;4.111111111;3.95;4;Sí, el trabajo en equipo y el personal que da todo su esfuerzo para lograrlo.;Se mejoraría en la implementación en equipos de comunicación especialmente en mi área.;NEUTRO
246;Masculino;de 39 a 45 años;Universitaria incompleta;Asistente Prevención de Riesgos;Trabajador;de 1 a 3 años;Gerencia de Administración;Administración de Riesgos;4.9375;4.5;4.666666667;4.888888889;4.7;5;Que somos una gran familia.;No indica;PROMOTOR
247;Masculino;de 31 a 38 años;Secundaria o menor;Asistente Prevención de Riesgos;Trabajador;de 7 a 9 años;Gerencia de Administración;Administración de Riesgos;4.875;4.866666667;4.958333333;4.833333333;4.7;5;Sí porque es una empresa seria en la cual me siento orgulloso de ser parte.;No indica;PROMOTOR
248;Femenino;de 23 a 30 años;Universitaria incompleta;Auxiliar Cajera;Trabajador;de 1 a 3 años;Gerencia de Operaciones;Bóveda;3.8125;3.866666667;4;3.722222222;4.1;4;Sí, el trabajo en equipo.;La equidad y la importancia de nuestro trabajo, yo creo que la remuneración es muy baja para la responsabilidad que se tiene en el área de Bóveda deben de tomar más importancia y no tenerla olvidada, ya que el trabajo qye desempeñamos impacta en los ingresos del casino.;NEUTRO
249;Femenino;de 23 a 30 años;Instituto superior o técnico completo;Auxiliar Cajera;Trabajador;menos de 1 año;Gerencia de Operaciones;Bóveda;4.5625;4.566666667;4.583333333;4.833333333;4.75;5;Incrementar un poco más el sueldo, es todo, porque lo demás sí puedo decir que es un excelente lugar donde trabajar.;Quizás en dar otras opciones cuando se reconoce al empleador como un viajecito o un vale. Creo que es un bonito ambiente. Mejores orquestas.;PROMOTOR
250;Femenino;de 23 a 30 años;Instituto superior o técnico incompleto;Auxiliar Cajera;Trabajador;de 1 a 3 años;Gerencia de Operaciones;Bóveda;4.4375;4.1;3.625;4.333333333;4.05;4;Sí, la sonrisa que muestran los compañeros nos hace sentir queridos.;Preferiría que hubiera movilidad para quienes vivimos lejos, que mejoren la comida del comedor. Que no haya preferencias entre los compañeros.;PROMOTOR
251;Femenino;de 23 a 30 años;Universitaria incompleta;Auxiliar Cajera;Trabajador;de 4 a 6 años;Gerencia de Operaciones;Bóveda;4.375;4.3;4.541666667;4.666666667;4.85;5;Es el mejor lugar porque la gente hace que eso suceda así, los compañeros, los jefes, etc. Lo que me hace venir feliz es la idea que hoy aprenderé algo más.;"Tal vez que consideraran la gran responsabilidad que conlleva mi cargo como ""Auxiliar cajera"". Considero las demás áreas también, pero creo que nadie pierde o se desfavorece económicamente más que las cajeras. Sobre todo creo, apoyo cuando cometemos errores involuntarios.";PROMOTOR
252;Femenino;de 23 a 30 años;Instituto superior o técnico completo;Auxiliar Cajera;Trabajador;de 1 a 3 años;Gerencia de Operaciones;Bóveda;4.625;4.233333333;4.291666667;4.611111111;4.9;5;El ambiente, es grato trabajar aquí.;La comida que no sea guardada por mucho tiempo.;PROMOTOR
253;Femenino;de 23 a 30 años;Instituto superior o técnico completo;Auxiliar Cajera;Trabajador;de 1 a 3 años;Gerencia de Operaciones;Bóveda;4.78125;4.8;4.541666667;4.888888889;4.9;5;La unión que se demuestra como equipo.;Aumentar la remuneración ya que el área de operaciones a pesar de tener más riesgo en lo que es pérdida de dinero son los menos pagados.;PROMOTOR
254;Femenino;de 23 a 30 años;Instituto superior o técnico incompleto;Auxiliar Cajera;Trabajador;menos de 1 año;Gerencia de Operaciones;Bóveda;4.21875;4.233333333;4.5;3.722222222;3.75;4.5;Sus colaboradores.;Que en los próximos eventos, capacitaciones y examenes de promoción haya más accesibles los horarios para la gente de cierre.;PROMOTOR
255;Femenino;de 23 a 30 años;Instituto superior o técnico completo;Auxiliar Cajera;Gerencias (Directores, Gerentes);de 1 a 3 años;Gerencia de Operaciones;Bóveda;3.3125;3.4;3.375;3.333333333;3.75;3;No indica;Considero que si tuviéramos movilidad para las personas que nos toca hacer el turno de tarde y que salimos a partir de las 00:00 sería mucho mejor.;NEUTRO
256;Femenino;de 23 a 30 años;Instituto superior o técnico completo;Auxiliar Cajera;Trabajador;de 1 a 3 años;Gerencia de Operaciones;Bóveda;3.625;3.733333333;4;4.5;3.6;4;Sí, los beneficios que te ofrece la empresa y el buen trato que te da al ingresar.;Que no haya argollas, favoritismo, que nos traten y respondan el saludo los jefes empezando por el gerente, eso haría sentir al personal que existimos para la empresa. No saludan Sr. Ripamonti, Sr.Danis Muños, Sra. Marisol Escate.;NEUTRO
257;Femenino;de 23 a 30 años;Instituto superior o técnico completo;Auxiliar Cajera;Trabajador;de 1 a 3 años;Gerencia de Operaciones;Bóveda;4.9375;4.8;4.75;5;5;5;La grata bienvenida que dan, realmente uno se siente como en familia, siento que se ha mejorado mucho la integración e información.;Que mantengan las cosas positivas y sigan cultivando la integración.;PROMOTOR
258;Femenino;de 23 a 30 años;Instituto superior o técnico completo;Auxiliar Cajera;Trabajador;de 1 a 3 años;Gerencia de Operaciones;Bóveda;3.5625;3.666666667;3.5;3.888888889;3.75;4;Varias cosas, navidad,almuerzos de confraternidad, los colaboradores del mes tienen la oportunidad de dialogar con el gerente de operaciones en la cena o almuerzo les brinda la empresa.;Deberían hacer más capacitaciones para los supervisores, dejar ascender a sus propios trabajadores y no traer gente de afuera.;NEUTRO
259;Femenino;de 23 a 30 años;Instituto superior o técnico incompleto;Auxiliar Cajera;Trabajador;menos de 1 año;Gerencia de Operaciones;Bóveda;4.84375;4.766666667;4.833333333;5;4.8;5;Sí, el trato que nos dan nuestros jefes, tienen bastante consideración en el momento preciso sobre todo el apoyo con todas las herramientas que necesitamos.;Que suban un poquito más el sueldo sería lo máximo.;PROMOTOR
260;Femenino;de 23 a 30 años;Universitaria incompleta;Auxiliar Cajera;Trabajador;menos de 1 año;Gerencia de Operaciones;Bóveda;4.78125;4.466666667;4.833333333;4.555555556;5;5;No indica;No indica;PROMOTOR
261;Masculino;de 31 a 38 años;Instituto superior o técnico incompleto;Auxiliar Cajera;Trabajador;de 7 a 9 años;Gerencia de Operaciones;Bóveda;3.90625;4.233333333;4.291666667;4.5;4.7;5;Sí, el que Atlantic City es un lugar y hay unión de los trabajadores para lograr un solo objetivo.;No cambiaría, si no reforzaría las cosas que ya se están haciendo.;PROMOTOR
262;Femenino;de 23 a 30 años;Instituto superior o técnico incompleto;Auxiliar Cajera;Trabajador;de 1 a 3 años;Gerencia de Operaciones;Bóveda;4.125;3.866666667;4.041666667;3.777777778;4.15;4;Es un establecimiento bastante seguro y donde sé que no correría peligro ante algún sismo o asalto y entre otros. El ambiente es elegante y exclusivo (limpio).;Me gustaría capacitarnos sobre atención al cliente, siempre hay nuevos métodos.;PROMOTOR
263;Femenino;de 23 a 30 años;Instituto superior o técnico incompleto;Auxiliar Cajera;Trabajador;menos de 1 año;Gerencia de Operaciones;Bóveda;4.96875;5;4.958333333;4.555555556;5;5;La gran acogida que dan, todos los beneficios que te ofrece el ambiente laboral es muy grato y entretenido.;No cambiaría nada, en mejorar sería mayores beneficios para los trabajadores.;PROMOTOR
264;Femenino;de 31 a 38 años;Universitaria incompleta;Auxiliar Cajera;Trabajador;de 7 a 9 años;Gerencia de Operaciones;Bóveda;4.25;4.466666667;4.125;4.333333333;4.45;4;El ambiente de trabajo, personalmente me siento bien haciendo y desempeñándome en lo que realmente me gusta y lo hago con satisfacción.;Más oportunidades de ascensos, de promover el talento considerando también la remuneración que es el reconocimiento y valor de nuestro trabajo.;PROMOTOR
265;Femenino;22 años o menos;Universitaria incompleta;Auxiliar Cajera;Trabajador;menos de 1 año;Gerencia de Operaciones;Bóveda;4.46875;4.5;4.458333333;4.777777778;4.7;5;No indica;No indica;PROMOTOR
266;Femenino;de 23 a 30 años;Universitaria incompleta;Auxiliar Cajera;Trabajador;de 4 a 6 años;Gerencia de Operaciones;Bóveda;2.96875;3.133333333;2.916666667;3.666666667;3.7;3.5;No indica;Aumentar el sueldo a las cajeras, están mal pagadas!;NEUTRO
